APPLICATION_DATE,CONSTRUCTION_VALUE_CLEAN,PERMIT_TYPE_CLEAN,WORK_TYPE_CLEAN,WARD,APPLICATION_MONTH,APPROVAL_DURATION,APPLICATION_YEAR,PREDICTED_APPROVAL_DURATION
2016-01-04,20000.0,Residential,Alteration & Renovation,9,1.0,4,2016,21.362339965179554
2016-01-04,20000.0,Residential,Alteration & Renovation,10,1.0,8,2016,19.767947296268975
2016-01-04,1000.0,Trades & Utilities,Systems & Utilities,10,1.0,0,2016,5.310488311342059
2016-01-04,15000.0,Residential,Alteration & Renovation,1,1.0,4,2016,18.5955038921508
2016-01-05,600.0,Trades & Utilities,Systems & Utilities,9,1.0,0,2016,5.14963860323234
2016-01-05,31600.0,Residential,Special Infrastructure & Misc,1,1.0,10,2016,15.69859046234277
2016-01-05,14000.0,Residential,Alteration & Renovation,2,1.0,2,2016,18.698957583018938
2016-01-05,413000.0,Residential,New Construction,4,1.0,16,2016,24.739973115375236
2016-01-05,1000.0,Commercial & Industrial,Alteration & Renovation,9,1.0,27,2016,30.48554621303797
2016-01-05,4000.0,Residential,Alteration & Renovation,2,1.0,2,2016,16.974214471527613
2016-01-05,280000.0,Residential,New Construction,4,1.0,17,2016,25.29423054715248
2016-01-05,360000.0,Residential,New Construction,4,1.0,15,2016,27.287503086801816
2016-01-05,13000.0,Residential,Alteration & Renovation,4,1.0,21,2016,18.698957583018938
2016-01-06,20000.0,Residential,Alteration & Renovation,4,1.0,2,2016,18.483524361699804
2016-01-06,40000.0,Residential,Addition,7,1.0,16,2016,26.28377667659447
2016-01-06,3000.0,Residential,Alteration & Renovation,1,1.0,5,2016,16.729763345153145
2016-01-06,15000.0,Residential,Alteration & Renovation,6,1.0,2,2016,18.5955038921508
2016-01-06,9500.0,Residential,Alteration & Renovation,4,1.0,1,2016,18.388219783183455
2016-01-06,328000.0,Residential,New Construction,4,1.0,21,2016,26.73835307630682
2016-01-06,10000.0,Residential,Addition,10,1.0,22,2016,26.699315932384025
2016-01-07,2000.0,Residential,Addition,10,1.0,13,2016,20.80711064591338
2016-01-07,3000.0,Residential,Alteration & Renovation,7,1.0,8,2016,17.65155591394734
2016-01-07,12000.0,Residential,Alteration & Renovation,3,1.0,8,2016,18.915209787290088
2016-01-07,382000.0,Residential,New Construction,2,1.0,19,2016,23.661269975112425
2016-01-07,20000.0,Residential,Addition,9,1.0,21,2016,27.755572843310688
2016-01-07,304000.0,Residential,New Construction,4,1.0,18,2016,27.026241127342004
2016-01-08,372000.0,Residential,New Construction,4,1.0,14,2016,24.242035644882485
2016-01-08,450000.0,Residential,New Construction,2,1.0,25,2016,25.94626822924035
2016-01-08,1000.0,Residential,Addition,2,1.0,25,2016,20.932960292646964
2016-01-08,10000.0,Residential,Alteration & Renovation,10,1.0,6,2016,19.674309994880787
2016-01-08,198000.0,Commercial & Industrial,Alteration & Renovation,3,1.0,56,2016,37.229766102549426
2016-01-08,400000.0,Residential,Addition,8,1.0,7,2016,28.35161692346571
2016-01-08,25000.0,Trades & Utilities,Systems & Utilities,9,1.0,19,2016,21.884968386647817
2016-01-08,277000.0,Residential,New Construction,4,1.0,19,2016,25.29423054715248
2016-01-08,20000.0,Residential,Alteration & Renovation,1,1.0,20,2016,18.433643907729365
2016-01-11,2000000.0,Other/Mixed Approvals,New Construction,9,1.0,3,2016,32.4933601999794
2016-01-11,4975.0,Trades & Utilities,Systems & Utilities,3,1.0,0,2016,11.17119501251196
2016-01-11,25000.0,Residential,Addition,8,1.0,16,2016,26.15834275784585
2016-01-11,957000.0,Residential,New Construction,10,1.0,31,2016,32.6934718647947
2016-01-11,20000.0,Residential,Alteration & Renovation,2,1.0,3,2016,18.433643907729365
2016-01-11,15000.0,Commercial & Industrial,Alteration & Renovation,9,1.0,32,2016,33.17959116915225
2016-01-12,5000.0,Residential,Alteration & Renovation,4,1.0,3,2016,19.225696050577692
2016-01-12,15000.0,Residential,Alteration & Renovation,4,1.0,6,2016,18.5955038921508
2016-01-12,200000.0,Commercial & Industrial,Alteration & Renovation,10,1.0,28,2016,37.27212045001183
2016-01-13,360000.0,Commercial & Industrial,Alteration & Renovation,9,1.0,34,2016,42.26080453524214
2016-01-13,309000.0,Residential,New Construction,2,1.0,21,2016,24.96251960954512
2016-01-13,515000.0,Residential,New Construction,4,1.0,19,2016,24.79004854641649
2016-01-13,481000.0,Residential,New Construction,4,1.0,19,2016,24.929150471116273
2016-01-13,481000.0,Residential,New Construction,4,1.0,19,2016,24.929150471116273
2016-01-13,415000.0,Residential,New Construction,4,1.0,19,2016,25.86525660549299
2016-01-13,431000.0,Residential,New Construction,4,1.0,19,2016,25.937633123629926
2016-01-13,390000.0,Residential,New Construction,4,1.0,19,2016,26.896231205208817
2016-01-13,383000.0,Residential,New Construction,4,1.0,50,2016,24.08118893982896
2016-01-13,19200.0,Residential,Special Infrastructure & Misc,5,1.0,5,2016,15.996258003355166
2016-01-13,19200.0,Residential,Special Infrastructure & Misc,9,1.0,8,2016,16.17661900448521
2016-01-13,19200.0,Residential,Special Infrastructure & Misc,3,1.0,5,2016,15.164897245059873
2016-01-14,70000.0,Residential,Addition,3,1.0,21,2016,28.915751601704926
2016-01-14,277000.0,Residential,New Construction,4,1.0,14,2016,25.29423054715248
2016-01-14,75000.0,Residential,Alteration & Renovation,10,1.0,13,2016,20.974267123288143
2016-01-14,40000.0,Residential,Addition,9,1.0,15,2016,28.122656850349287
2016-01-15,2000.0,Residential,Alteration & Renovation,8,1.0,10,2016,15.921408610833645
2016-01-15,7000.0,Trades & Utilities,Systems & Utilities,8,1.0,0,2016,11.640848683447281
2016-01-15,383000.0,Residential,New Construction,4,1.0,19,2016,24.08118893982896
2016-01-15,279000.0,Residential,New Construction,4,1.0,14,2016,25.29423054715248
