APPLICATION_DATE,CONSTRUCTION_VALUE_CLEAN,PERMIT_TYPE_CLEAN,WORK_TYPE_CLEAN,WARD,APPLICATION_MONTH,APPROVAL_DURATION,FINAL_YEAR,PROJECT_DURATION
1999-01-04,25000.0,Commercial & Industrial,Alteration & Renovation,8,1.0,9,1999.0,0.0
1999-01-04,3000.0,Commercial & Industrial,Alteration & Renovation,9,1.0,9,1999.0,0.0
1999-01-04,1000.0,Commercial & Industrial,Alteration & Renovation,3,1.0,16,2002.0,3.0
1999-01-04,6000.0,Residential,Alteration & Renovation,2,1.0,1,2004.0,5.0
1999-01-05,255000.0,Commercial & Industrial,New Construction,3,1.0,183,2000.0,1.0
1999-01-05,13000.0,Residential,Addition,1,1.0,1,2000.0,1.0
1999-01-05,75000.0,Commercial & Industrial,Addition,3,1.0,9,1999.0,0.0
1999-01-05,40000.0,Commercial & Industrial,Addition,3,1.0,63,1999.0,0.0
1999-01-05,5000.0,Trades & Utilities,Systems & Utilities,9,1.0,3,1999.0,0.0
1999-01-05,1000.0,Trades & Utilities,Systems & Utilities,1,1.0,0,1999.0,0.0
1999-01-05,5000.0,Commercial & Industrial,Alteration & Renovation,10,1.0,10,1999.0,0.0
1999-01-05,350000.0,Commercial & Industrial,Alteration & Renovation,3,1.0,13,1999.0,0.0
1999-01-05,124000.0,Residential,New Construction,5,1.0,15,2000.0,1.0
1999-01-06,140000.0,Residential,New Construction,2,1.0,7,2000.0,1.0
1999-01-06,104256.0,Residential,New Construction,7,1.0,12,2000.0,1.0
1999-01-07,83800.0,Residential,New Construction,6,1.0,106,2001.0,2.0
1999-01-07,83800.0,Residential,New Construction,6,1.0,106,2001.0,2.0
1999-01-07,83800.0,Residential,New Construction,6,1.0,106,2001.0,2.0
1999-01-07,83800.0,Residential,New Construction,6,1.0,106,2001.0,2.0
1999-01-07,83800.0,Residential,New Construction,6,1.0,106,2001.0,2.0
1999-01-07,100000.0,Commercial & Industrial,Addition,1,1.0,11,2000.0,1.0
